text	label
ଆଉ ପଛକୁ ଦେଖନି ଆଉ ଏଥର ପଛକୁ ଦେଖନି ‘ ହୋ ’ ସଙ୍ଗାତ ! ଡଗଡଗ କରି ଚାଲ , ଆଗକୁ , ଆହୁରି ଆଗକୁ ଏଇ ଉଦୁଉଦିଆ ଦିପହରବେଳେ ଏମିତି ଛିଡାହେଲେ , ଶୁଖି କଳା ପଡିଯିବ ‘ ହୋ ’ ସଙ୍ଗାତ ! ପାରୁଛ ଯଦି ବଡ଼ ପାହୁଣ୍ଡ ପକେଇ ଚାଲ ଆଗକୁ , ଆହୁରି ଆଗକୁ । କିଞ୍ଚିତ ବିଳମ୍ବରେ ଯଦି ତାଗିଦ୍ କରୁନ ନିଜକୁ ତେବେ ଛାଇ ଦେଖି ଟିକେ ବସିଯାଅ ଗପପେଡିରୁ କିଛି ଗପ କାଢି ପରଷି ପାର ଯଦିବେଶୀଛାଇ ଲୋଭରେ କାହାର ଗହଳ କେଶର ଅନ୍ଧାରରେ ଶୋଇ ଯିବାର ଇଚ୍ଛା , ତେବେ ଖସେଇ ଦେଇ ପାର ପାଦ କେଉଁ ଏକ ଯୁବତୀରପିଚ୍ଛିଳ ପ୍ରେମର ସନ୍ତସନ୍ତିଆ ରାସ୍ତାରେ । ହେଲେ ବେଶୀ ସମୟ ରହିବନି ‘ ହୋ ’ ସଙ୍ଗାତ ! ସେଇ କୁସୁମଗନ୍ଧାର ବାସ୍ନାରେ କୁଆଡେ ଅଛି ସ୍ଥିରବିଷ ମୃତ୍ୟୁ ଆସି ନପାରେ , କିନ୍ତୁ ଭୁଲି ଯାଇ ପାର ଗନ୍ତବ୍ୟ ତେଣୁ ଦେଖିକରି ‘ ହୋ ’ ସଙ୍ଗାତ ! ବେଳଦେଖି ଧଡ୍‌କକିନା ଉଠିପଡ଼ିବ ବଡ଼ ପାହୁଣ୍ଡ ପକେଇ ଚାଲିବ , ଆଗକୁ ଆହୁରି ଆଗକୁ ।	1
ଜଗା ହାତେ ରହୁ ପଘା କାଳିଆ ଠାକୁର ନହୁଅ ନିଷ୍ଠୁର ଧର ନିଜ ହାତେ ପଘା ଅନ୍ୟାୟ ଅନିତି ବଢ଼େ ନିତି ନିତି ଦୟାବହି ରଖ ନିଘା ନବ କଳେବର ହେଲାଣି କେବର ଏବେ କଣ ଅଛ ଛୁଆ ? ବଢ଼େ ନିତି ପାପ ପ୍ରକୃତୀର କୋପ ଧର୍ମଠୁଁ ହୁଏ ଆଗୁଆ ସଂସାର ତୁମର ହୁଏ ନାରଖାର ନିଦରେ କି ଗଲ ଶୋଇ ? ଅନନ୍ତ ଶୟନ ସମୟ ଏ ନୁହେଁ ଉଠିଯାଅ ଦୁଇ ଭାଇ ଅନ୍ନ ଦାତା ଯିଏ ଅନ୍ନ କଷ୍ଟ ସହେ ପରିବାର ପାଏ ଦୁଃଖ ଚୌଷଠି ପଉଟି କିଏ ଦେବ କୁହ ? ଚାଷୀ ହୋଇଲେ ବିମୁଖ ପୋକରା ଚାଉଳ ଅନ୍ନ ଲାଗି ହୁଏ ଜାଣି କି ହେଉନି ସ୍ୱାଦ ? ଚାଷୀକୂଳ ମଲେ ଛପନ ଭୋଗରେ କିଏ ଭରିବ ସୁଆଦ ? ସ୍ୱଚ୍ଛ ଭାରତର ଯୋଜନା ସୁନ୍ଦର ଶ୍ରୀ ’ ନାହିଁ ଶ୍ରୀମନ୍ଦିରେ ନିତିକ୍ରାନ୍ତି ସହ ଖେଳ ଖେଳାଯାଏ ଲୁଚିଛ କେଉଁ କନ୍ଦରେ ? ଭକତ ହୃଦୟେ ଭରି ଯାଏ କୋହେ ଆଖି କରେ ଛଳଛଳ ପାଚକ ପୂଜକ ଦଇତା ସେବକ ଦେଖାନ୍ତି ବାହୁର ବଳ ପ୍ରକୃତି ମାଆ ବି କଷିଲାଣି ଚାବି ତାପମାତ୍ରା ରଖି ଉଚ୍ଚା ମହାନଦୀ ପାଣି ଶୁଖି ଆସିଲାଣି ଭୂମି ଜଳ ସ୍ତର ନିଚ୍ଚା ଲଘୁଚାପ ବିନା ବର୍ଷା ହେବା ମନା କିଏ କରିଛି ନିୟମ ? କୀଟନାଶକରେ କୀଟ ମରୁନାହିଁ ମଣିଷ ଭେଟୁଛି ଯମ ବିଭିନ୍ନ ପ୍ରକାର ରୋଗ ପୋକ ଆସି ଚାଷୀକୁ କରେ ହତାଶ ଆତ୍ମହତ୍ୟା ଭଳି ନିଷ୍ପତି ନିଅନ୍ତି ମୋହ ମାୟା କରି ଶେଷ ଗଣ ବଳାତ୍କାର ଗଣ ଆତ୍ମହତ୍ୟା ନଥିଲା ଆମ ରାଇଜେ ନୂଆ ନୂଆ ସବୁ ଅଘଟଣ ଘଟି ଅସମ୍ଭବ କୃତୀ ସାଜେ ଅଙ୍ଗ , ବଙ୍ଗ ଆଉ କଳିଙ୍ଗ ମଧ୍ୟରେ କଳିଙ୍ଗ ଥିଲା ଉନ୍ନତ କଳାରେ ଉତ୍କର୍ଷ ହେବାରୁ ଉତ୍କଳ ନାମଟି ଥିଲା ବିଖ୍ୟାତ ଭୁଲିଲେ କେମିତି ପୁର୍ବ ପୁରୁଷର ସ୍ୱାଭିମାନ ଭରା ଗାଥା ଇତିହାସ ଦେଖି ଲାଗୁଛି ସରମ ନଇଁ ଯାଏ ସବୁ ମଥା ନୁହେଁ କିବା ଆମ୍ଭେ ତାଙ୍କର ଦାୟାଦ କାହିଁ ଗଲା ତେଜ ବଳ ? ଅସହାୟ ଆଜି ଓଡ଼ିଆ ଜାତିଟି ପାଉନାହିଁ ଥଳକୂଳ ଆମ ନିଜ ଭାଷା ପାଇଁ ଆମେ ନିଜେ ବସି କରୁ ହରତାଳ ବର୍ଷବର୍ଷ ଧରି ଲଢ଼ିଲେ ବି ସୁଧା ମିଳୁନି କିଛି ସୁଫଳ ଓଡ଼ିଆ ମାଧ୍ୟମ ବିଦ୍ୟାଳୟ ଦେଖି ହୁଏ ପୁର୍ବ ଅନୁମାନ ଯାହାକିଛି ଅଛି ଆଜିର ଦିନରେ ଦିନୁ ଦିନ ହୁଏ କ୍ଷୀଣ ଯୁଗ କେଇଟାରେ ତାଲା ଝୁଲୁଥିବ ବୁଢ଼ିବ ଓଡ଼ିଆ ଭାଷା ସ୍ୱାଭିମାନ ପୋଡ଼ି ପାଉଁଶ ହୋଇବ ହେବା ସବୁ ଲୋକ ହସା ବେଳ ଥାଉଁ ବନ୍ଧ ବାନ୍ଧ ହେ ଓଡ଼ିଆ ଉଠ ନକରିକି ମଠ ମଧୁ ଗୋପବନ୍ଧୁ ସତେ କି ଆସିବେ ପଢ଼ାଇବେ ନିତି ପାଠ ? ସାତ ହଜାରରୁ ଉର୍ଦ୍ଧ ବିଶ୍ୱ ଭାଷା ଦୁଇଶ ’ ଗଲାଣି ଡ଼ୁବି ଓଡ଼ିଆ କି ଦିନେ ନିଶ୍ଚିହ୍ନ ହୋଇବ ? ଛନକା ପଶୁଚି ଭାବି ସବୁ ଶୋଇଗଲେ ଅସମ୍ଭବ ନୁହେଁ ମାତ୍ର କେଇ ଦଶନ୍ଧିରେ ଓଡ଼ିଆ ମାଧ୍ୟମ ବିଦ୍ୟାଳୟ ଲୋପ ହେବ ଆମ ଓଡ଼ିଶାରେ ସମସ୍ତେ ଇଂରାଜୀ ମାଧ୍ୟମ ପଢ଼ିବେ ଲୋକାଚାର ଧର୍ମ ଭୁଲି ଗଡ଼ ଏକ୍ସକିଉଜ୍ କହିକି କାଳିଆ ଚାରିପଟେ ଯିବେ ବୁଲି ବଡ଼ପଣେ ତୋର କଳଙ୍କ ଲାଗିବ ଭଗତ ପାଇଲେ ଦଗା କାଳିଆ ଠାକୁର ନହୁଅ ନିଷ୍ଠୁର ଧର ନିଜ ହାତେ ପଘା	0
ଦୁଖେ ଦେଉଥିସି ହସି ଘର କରିଥିବୁ ସଂସାର୍ ଭିତରେ ପଥର ପଡଲେ ସହେବୁ ଜୀବନ ଟା ପରେ ସୁଖଦୁଖେ ଭରା ଦୁହେଁକେ ନିଜର ଭାବବୁ । ସୁଖ ବେଲାକେ ସଭେଁ ସାଙ୍ଗସାଏଥ୍ ଦୁଖେ କରିଦେସନ୍ ପର ଦୁଖର ରଗଡା ଗାଉଥିସି ସିଏ ନିଜେ ଯେ ଏକଲା ନିଜର । ଦୁଖର ବୋଝଟା ଲେସି ହେଇଥିସି ଆଏଁଖ ଦେଉଥିସି କହି ମନର ଭିତର ଦୁଖର ଗୁମକା ଲହେ ନ ଯାଉଥିସି ବହି । ସହେବା ଲୋକକେ କହେମାଁ ଧଏନ୍ ସତେ କାଏଁ ସେ ସୁଖବାସୀ ହେନତା ମୁନୁଷ ସେ ଜଗତ ଜିତା ଦୁଖେ ବି ଦେଉଥିସି ହସି । ।	1
ଅନୂଢ଼ା ଆଶଙ୍କା ସମ୍ପର୍କ ଯେତେ ତା ’ ର ଜନ୍ମ ରୁ ଯୌବନ ଯାଏ ବନ୍ଧନ ର ଶୃଙ୍ଖଳ ଆଉ ମାୟା ର କାୟା ବିସ୍ତାର ଛାଡ଼ିଚାଲେ ଆଜି କେଉଁ ଅମଡ଼ା ବାଟରେ କାହା ପାଇଁ ବିଶ୍ୱାସ ଟିକିଏ କୁ ଆଶାବାଡି କରି , ନୂଆ ଏକ ସରହଦ , ନୂଆ ଏକ ଜୀବନ ଖୋଜିବାର ଦୁର୍ବାର ସ୍ୱପ୍ନ ରେ ସେ ’ ବିଭୋର । ଜାଣେନା ସେ କିପରି ଜୀବନ ପ୍ରୀତି ର ଗୋଲାପ ଫୁଟେ ସେଠି ଅବା କଣ୍ଟା ଫୁଟି କ୍ଷତାକ୍ତ ହୁଏ ମନ ନିମିଷେକରେ ସୁଖ ଲହଡି ଭାଙ୍ଗେ ଅବା ଦିଗ ବିଦିଗ ବ୍ୟାପି ଦୁଃଖ ର ପାହାଡ଼ । ସଂସାର ର ଚଳନ୍ତି ନିୟମ ରେ ବଦଳି ଯାଏ ଋତୁ , ଏଠି ବଦଳି ଯାଏ ସମ୍ପର୍କ ର ମାନେ , ଆପଣା ର କେହି ପର କରିଯାଏ କେବେ କିଏ ପୁଣି ହେଇଯାଏ ନିଶ୍ୱାସ ଭଳି ଏକାନ୍ତ ନିଜର ସ୍ୱପ୍ନ ଠାରୁ ବାସ୍ତବତା ର ଅବଧି କେଜାଣି ଏଠି କେତେ ଦୂର ଦୂର ଦିଗବଳୟ ଭଳି ଅସୀମ ଅବା ହାତ ପାଆନ୍ତା କେଉଁ ମୁଠାଏ ମହକ ଭଳି ଅତି ଆପଣ ର , ଏକାନ୍ତ ନିଜର … .	0
ମୁଠା ମୁଠା ଟଙ୍କା ଥିଲା ମୋ ପାଖରେ… ମୁଠା ମୁଠା ଟଙ୍କା ଥିଲା ମୋ ପାଖରେ… ଧନ ନ ଥିଲା । ନରମ ନରମ ଗଦି ପଡିଥିଲା ମୋ ଶୋଇବା ଘରେ… ନିଦ ନ ଥିଲା । ଅନେକ ଲୋକଙ୍କର ସଂପର୍କ ଥିଲା ମୋ ସାଥେ… ବନ୍ଧୁତା ନ ଥିଲା । ନାନାଦି ବ୍ୟଞ୍ଜନ ରନ୍ଧାଥିଲା ମୋ ପାଇଁ… ଭୋକ ନ ଥିଲା । ବିଶାଳ ପ୍ରାସାଦ ଥିଲା ମୋର ରହିବାକୁ… ଖାଲି ପଡିଥିଲା । ସମସ୍ତେ ହାତ ଯୋଡୁଥିଲେ ମୋତେ… ସମ୍ମାନ ନ ଥିଲା । ବଞ୍ଚିବାକୁ ଶରୀରଟିଏ ଥିଲା ମୋ ପାଖରେ… ଆତ୍ମା ନ ଥିଲା । ଅସରନ୍ତି ଜ୍ଞାନର ଭଣ୍ଡାର ଥିଲା ମୋ ପାଶେ… ଉପଯୋଗ ନ ଥିଲା । ତାରାରେ ସୁସଜ୍ଜିତ ଥିଲା ନୀଳ ଆକାଶଟା… ଜହ୍ନ ନ ଥିଲା । ଶାନ୍ତ ସ୍ନିଗ୍ଧ ଶୀତଳ ଥିଲା ବାତାବରଣ… ମାଦକତା ନ ଥିଲା । ସବୁକିଛି ସାଇତି ହୋଇଥିଲା ସ୍ମୃତିର ଗନ୍ତାଘରେ… କିଛି ମନେ ନ ଥିଲା । ଆକର୍ଷଣୀୟ ଲାଗୁଥିଲା ପୂଜା ମଣ୍ଡପଟି… ଦେବୀ ପ୍ରତିମା ନ ଥିଲା । ବଞ୍ଚିବାକୁ ବାକିଥିଲା ଅନେକ ବୟସ… ଯୌବନ ନ ଥିଲା । ଚାଲିବାକୁ ବାକିଥିଲା ଆହୁରି ଅନେକ ଦୂର… ରାସ୍ତା ନ ଥିଲା । ଘୋଟିଥିଲା ଆକାଶରେ କଳାହାଣ୍ଡିଆ ମେଘ… ବର୍ଷା ନ ଥିଲା । ଛାତି ଫାଟି ପଡୁଥିଲା ଦୁଃଖରେ… କୋହ ନ ଥିଲା । ଆନନ୍ଦରେ ଗଦ୍ ଗଦ୍ ହେଉଥିଲା ମନଟା… ହସ ନ ଥିଲା । ଇଚ୍ଛାଥିଲା କାଟିବାକୁ ଆଉ କିଛି ମୁହୂର୍ତ୍ତ… ସମୟ ନ ଥିଲା । ବଦଳେଇବାକୁ ଥିଲା ବହୁତ କୁଅଭ୍ୟାସ… ମାନସିକତା ନ ଥିଲା । ଇଚ୍ଛାଥିଲା ଆଉ ଟିକେ ଭଲ ପାଇବାକୁ… ପ୍ରେମ ନ ଥିଲା । ଦେଖିବାକୁ ବାକିଥିଲା ଅନେକ ସ୍ୱପ୍ନ… ନିଦ ନ ଥିଲା । ରାତି ବାକିଥିଲା ମୋ ପାଖରେ ଆହୁରି ଅନେକ… ସ୍ୱପ୍ନ ନ ଥିଲା । ବହୁତ କିଛି ଇଚ୍ଛାଥିଲା ଲେଖିବାକୁ… ଶବ୍ଦ ନ ଥିଲା ।	0
ପ୍ରେମମୟ ପୃଥିବୀ ସାରା ପୃଥିବୀରେ ଅସଂଖ୍ୟ ଫୁଲ ଫୁଟିଯାଏ । ଧରିତ୍ରୀର ଧୂସର ଛାତିଟା ସବୁଜିମାରେ ଭରିଯାଏ , ମଝି ଆକାଶରେ ସୂରୂଜ ସ୍ଥିର ହୋଇଯାଏ , ପାହାଡ ଫାଙ୍କରେ ଜହ୍ନ ଲୁଚି ଦେଖୁଥାଏ , ତାରାଙ୍କ ରୋଷଣୀରେ ନୀଳ ଆକାଶଟା ସଜେଇ ହୋଇଥାଏ , ସାରା ବାୟୁମଣ୍ଡଳ ଅପୂର୍ବ ମହକରେ ମହକିଯାଉଥାଏ , ଚଢେଇମାନଙ୍କର କିଚିରିମିଚିରି ସଂଗୀତ ଲାଗୁଥାଏ , ମନ୍ଦ ମନ୍ଦ ମଳୟ ପବନ ବହୁଥାଏ , ସମୟ ବି ଟିକେ ଧିମେଇ ଯାଇଥାଏ , ଆଖିରେ ଆଖିଏ ସ୍ୱପ୍ନ ନେଇ ସେ ଠିଆ ହୋଇଥାଏ , ହାତରେ ଲାଲ୍ ଗୋଲାପଟେ ହାତରେ ଧରି ମୁଁ ତା ପାଖକୁ ଯାଏ , ଛାତିରେ ଛାତିଏ ପ୍ରଶ୍ନ ନେଇ ପ୍ରେମ ନିବେଦନ କରିଦିଏ , ସେ ଟିକେ ଲାଜେଇଯାଏ , ଫୁଲଟିକୁ ମୋ ହାତରୁ ନେଇ ଦୌଡି ଚାଲିଯାଏ , ଟିକେ ରହି ବୁଲି ଚାହିଁଦେଇ ଅଳ୍ପ ହସିଦିଏ , ଅପୂର୍ବ ଆନନ୍ଦରେ ମୋ ହୃତପିଣ୍ଡ ଭରିଯାଏ , ମୋ ପ୍ରଶ୍ନର ଉତ୍ତର ମୋତେ ମିଳିଯାଏ , ପୁରା ଦୁନିଆଟା ପ୍ରେମମୟ ଲାଗୁଥାଏ , ସାରା ପୃଥିବୀରେ ଅସଂଖ୍ୟ ଫୁଲ ଫୁଟିଯାଏ ।	1
ଜୀବନର ଜିଜୀବିଷା ବିଦ୍ୟାର୍ଥୀଙ୍କ ମୁଣ୍ଡରେ ପରୀକ୍ଷାର ଲୌହ ଶିକୁଳି ବାନ୍ଧି ଆଉ କେତେ ଦିନ ? ଏ ଦେଶରେ ବଡ଼ଦାଣ୍ଡେ ଟାଣି ଚାଲିଥିବ , ସ୍ୱାର୍ଥ - କୈନ୍ଦ୍ରିକ ଶିକ୍ଷା ବ୍ୟବସ୍ଥାର ନନ୍ଦିଘୋଷ ରଥ । ଆଉ କେତେ ଦିନ ? କେତେ ଦିନ ? କୋମଳମତି ବିଦ୍ୟାର୍ଥୀର ନିଷ୍ପାପ ଛାତିରେ , ପରୀକ୍ଷାର . . . ମନମିଟର ଖଞ୍ଜି , ମାପି ଚାଲିଥିବ ଚାକିରି ସର୍ବସ୍ୱ , . . . ଗୁଣାତ୍ମକ ଶିକ୍ଷା ବ୍ୟବସ୍ଥାର ଦକ୍ଷତା , ଦୃଢ଼ତ ଆଉ ବୌଦ୍ଧିକତା । । ଆଉ କେତେ ଦିନ ? ଶିକ୍ଷାକୁ ବସ୍ତୁବାଦୀ ଚେତନାର ଶକ୍ତି ସାମର୍ଥରେ ରଙ୍ଗାଇ , ମଜାଇ ପରୀକ୍ଷାର ଜୁଆ ଖେଳେ . . . ବାଜି ଲଗାଇ , ଜିତାପଟ ମାରି ସୃଷ୍ଟି କରିଚାଲିଥିବ , ଟପର୍ ପରେ ଟପର୍ ବନିଯାଉଥିବା ଶୋଷକ , ଭକ୍ଷକ , ଠକ , ଟାଉଟର ଶାସକ - ପ୍ରଶାସକ , ଇଞ୍ଜିନିୟର୍ - ଡାକ୍ତର ଆଉ ବଡ଼ ବଡ଼ ଅଫିସର ପୁଣି ପୁଞ୍ଜିବାଦୀ - ଶିଳ୍ପପତି ଗଣ । ପରୀକ୍ଷା ପରେ ପରୀକ୍ଷାର ଯେତେ ଶିଡ଼ି ଚଢ଼ିଲେ ବି ବାପଧନ କେବେ , ଛୁଇଁ ପାରିବନି ଶିକ୍ଷାର ବିଶ୍ୱରୂପ । ଯେଉଁଠି ଜୀବନଟା . . . ପାଲଟି ଯାଏ ଅହରହ ଖାଲି ପରୀକ୍ଷା ଆଉ ପରୀକ୍ଷାମୟତାର ବିଶ୍ୱବ୍ରହ୍ମାଣ୍ଡ , କୋଉ ଶିକ୍ଷା କ ’ ଣ ଛୁଇଁ ପାରିବ ନିରନ୍ନ , ବୁଭୁକ୍ଷୁ ଆଉ ଦଳିତ ନିସ୍ପେଷିତ ନିପୀଡ଼ିତ ଦୀନ ଦରିଦ୍ର ଭଳି ଈଶ୍ୱରଙ୍କ ଜୀବନର ଜିଜୀବିଷା !	0
ନିର୍ବିବାଦ ତୁମେ ତ ପାକଲା ଚୂଳ ରଖିଛ ଗୋଛାଏ ଅଥଚ ମୁଁ କହରା ଚୂଳ କେରାଏ ରଖିଛି ବୋଲି , ତୁମ ଦିହ ସହୁନି । ଧୋବ ଫରଫର ପାକଲା ଚୂଳ ତବ ସମ୍ପୂର୍ଣ୍ଣ ହୁଗୁଳା ହୋଇ ଯାଇଥିବ ଜୀବାଣୁ ଜନ୍ମୁଥିବ ତ ମଥା ତୁମ ବିବର୍ଣ୍ଣ ଦୃଶ୍ୟ ହେଉଥିବ । ଆଉ ଏ କହରା କେରାକ କଞ୍ଚା ଜରଜର ଶକତ ଚୂଳ ମୂଳ ତା ଟାଣ କାହିଁକି ଭାବୁଛ ତାହାକୁ କାମ ( । ) ଆଜିକାଲି ପରା ଏହି ଶୋଭନ । ତୁମେ ସେହି ପାକଲା ଚୂଳଗୁଡ଼ାକୁ କଳା ରଙ୍ଗରେ ରଙ୍ଗଉ ଥା ’ ଯେତେବେଳେ ମୁଣ୍ଡରେ ଘା ’ ହେବ ଚକ୍ଷୁର ଶକ୍ତି କମିଯିବ ନିଃଶ୍ୱାସ - ପ୍ରଶ୍ୱାସରେ ଫୁସ୍‌ଫୁସ୍ ଆକ୍ରାନ୍ତ ହୋଇବ ସେତେବେଳେ ଏମିତି ପସ୍ତେଇବ ନେଡ଼ି ତେଲ କହୁଣିକୁ ବୋହି ଯାଇଥିବ । ମୁଁ କିନ୍ତୁ ଏହି କହରା ଚୂଳରେ ତେଲ ନ ହେଲେ ବି ଏତେ ଶୀଘ୍ର ପାଚିବ ନାହିଁ ବିକୃତ ରୂପରେ ନାଚିବ ନାହିଁ । ଆଉ ଏବେ କଥା ଉଠଉଛି - ତୁମ ଆମ ନିର୍ବିବାଦର ପ୍ରସଙ୍ଗ , ହଉ . . . ସମାଧାନର କଥା କହୁଛ ତ ! ନିର୍ମଳ - ସ୍ୱଚ୍ଛଳ ଭାବୁଛ ତ । ତେବେ ଆସ , ସଭିଁଙ୍କୁ କରିଦେବା ଲଣ୍ଡା ଚନ୍ଦନ - ସିନ୍ଦୂର ଶୋଭା ପାଇବ ମଥାରେ ଓଁକାର ଉଚ୍ଚାରଣ ହେବ ମଠରେ ତୁମ ବିଲେଇମାନଙ୍କୁ ମୋ ବାଘ . . . ଆଲିଙ୍ଗନ କରିବ କୋଳରେ ।	0
ଚିତ୍ରକର ପ୍ରେୟସୀର ଛବି ଆଙ୍କୁଆଙ୍କୁ କାଟି ଦେଲଇ ତା ’ ଅଙ୍ଗ ପ୍ରତ୍ୟଙ୍ଗ ଲମ୍ୱାଲମ୍ୱା କଳାକେଶ , ଖଣ୍ଡାଧାର ନାକ ରକ୍ତ ଅଜାଡ଼ି ପଡ଼ିଲା ବୁନ୍ଦାବୁନ୍ଦା - ସଦ୍ୟ ତାଜା ଲାଲ ରକ୍ତ ଭିଜିଗଲା ଚଟାଣ ଚତ୍ୱର । ସକାଳର ଆଲବମ୍ ଫୁଲର ବଗିଚା ଘାସର କାର୍ପେଟ ଉପରେ ଗାଢ଼ ଅଳତାର ରଙ୍ଗ ଭିଜାଭିଜା - ଏ କାର ପାଦଚିହ୍ନ ଆହା ! ମନେହେଲା ନାଗୁଣି କି ଘାଇଲା ବାଘୁଣୀ ବିବର୍ଣ୍ଣ ଆକାଶ ତଳେ ପ୍ରିୟାର ଓଢ଼ଣା , ମନେ ହେଲା ମୃତ୍ୟୁର ପାପୁଲି ମୁଠାକୁ ଧୋକ୍କା ଦେଇ ମୁଁ ଆସିଛି ପଛରେ ଧାଉଁଚି ସେ ତ ବାଲିରେ ବାଲିରେ ପଡ଼ି ଉଠି କାଳର ଲହର ପରସ୍ତ ପରସ୍ତ ଢେଉ ସାମୁଦ୍ରିକ ସ୍ରୋତ ପରି ଛୁଇଁବାକୁ ଚେତନା ଓ ବାଲିର ସହର । ସେ ସମୁଦ୍ର ସମୁଦ୍ର କି ସେ ବାଲି ବାଲି ନୁହେଁ ସେ ରକ୍ତ ମନର ବରଂ ସେ ଛବି ସମୟ ଆଙ୍କିଚି । ପ୍ରେୟସୀର ଛବି କିମ୍ୱା ରଙ୍ଗ ତୂଳିକୁ ଥୁ ଥୁ ଫିଙ୍ଗି ଦେଲେ ଘଉଡ଼େଇ ଦେଲେ ଘଉଡ଼େଇ ଦେଲେ ରାତ୍ରି ଦୁଃସ୍ୱପ୍ନ ସବୁକୁ । ସାତ ପ୍ରସ୍ତ ବାନ୍ଧି କିମ୍ୱା ସାତ ସମୁଦ୍ର ସେପାରେ ସେ ପୁଣି ଲେଉଟି ଆସେ ସହସ୍ର ଉର୍ମିରେ ଚକ୍ଷୁର ସାମ୍ନାକୁ ।	0
ଉଦ୍ଦଣ୍ଡୀ ଝୁଅ ଝୁଅକୁ ଗଛ ଚଢ଼ିବା ମନା , ନଈ ପହଁରିବା ମନା ଦୁମ୍‌ଦୁମ୍ ଚାଲିବା ମନା ଠୋସ୍ , ଠୋସ୍ କଥା କହିବା ବି ମନା ମାଆର ସବୁ ଆକଟର ସୀମା ନାଲି ଆଖି , ରାଣ ଦୁହାଇକୁ ବାରମ୍ୱାର ଅତିକ୍ରମ କରେ ଝୁଅ ସେଇଥି ପାଇଁ ତ ଗାଁରେ ହୁରି ପଡ଼େ ଉଦ୍ଦଣ୍ଡୀ ଝୁଅ । ସାଁଠଣା ଶିଖେନା ବୋଲି ମାଆ ଗରଗର ସକାଳରୁ ସଞ୍ଜ ଅଣ୍ଡିରୀ , ରଣଚଣ୍ଡୀ ଗୁଣ ପାଇଁ ଗାଁ ମାଇପିଙ୍କ ଫୁସ୍ ଫୁସ୍ କଥା ମେଲିଯାଏ ଏ ଗାଁରୁ ଅନ୍ୟ ଗାଁ ତୁଠ । ଉଦ୍ଦଣ୍ଡୀ ଝୁଅ ଗୁଲି ଖେଳେ , ଡାବଳ ବି ଖେଳେ କମ୍ ବୟସୀ ଟୋକାଙ୍କ ମେଳରେ ଧାପିରେ ଶୁଶୁରି ମାରିବା ନାଗର ଟୋକାଏ ବାଟବଣା ହୁଅନ୍ତି ଆପଣା ଛାଏଁ ସିଏ ରାସ୍ତାରେ ଗଲେ ଗାଁ ଝୁଏ ମୁହଁ ମୋଡ଼ନ୍ତି - ତା ’ ଛାଇ ପଡ଼ିଲେ । ଉଦ୍ଦଣ୍ଡୀ ଝୁଅ ସବୁଠି ଥାଏ ଷଣ୍ଢ ଲଢ଼େଇରେ ଉସ୍କାନି ଦିଏ ଦନ୍ତା ମାଙ୍କଡ଼ ଦଳକୁ ସାରାଦିନ ଖେଦୁଥାଏ ଧୁ ’ - ଧୁ ’ - ଖରାବେଳ କଟିଯାଏ ତା ’ ର ବର ଓହଳ ଦୋଳିରେ । ଏ ଝୁଅକୁ ଦେଖିବାକୁ ଆସି ବରପକ୍ଷ ଫେରି ଯାଆନ୍ତି ଗାଁ ମୁଣ୍ଡରୁ ରବିଶୁଦ୍ଧି ଶୁଝିଲାନି ଅନେକ ଦିନ ଏଇ ସନ ଯୋଗକୁ ଘର ମିଳିଲା ବର ମିଳିଲା ଉଦ୍ଦଣ୍ଡୀ ଝୁଅକୁ । ଗାଁ ନୋକେ କଥା ହେଲେ ସଂସାର ଭାସିଗଲା ସାହାଣୀ ପୁଅର ଆଉ ଥୋକେ କୁହାକୁହି ହେଲେ ବଞ୍ଚିଗଲା ମାଈଚିଆ ସାହାଣୀ ପୁଅଟା । ଶାଶୁର ଫଅଁ , ଶଶୁରର ଚିତ୍କାର ଏବଂ ଯାଆ , ନଣନ୍ଦର ଟାଇଁ ଟାଇଁ କଥା ନିଆଁରେ ପାଣି ଭଳି ଥପ୍ କରି ନିଭିଗଲା ଉଦ୍ଦଣ୍ଡୀ ଝୁଅର ଆଖିତରାଟିରେ । ମାଛିକୁ ମ ’ ନ କହୁଥିବା ମକରାଇ ଝୁଅ ବାଆ ବାସି ଗାଁକୁ ଫେରିଲା - ଶାଶୁଘର ଲୋକେ ଉଲୁଗୁଣା ଦେଲେ ଝୁଅଟା ଆଲୁରୀ , ବାଲୁରୀ ପାଦକୁ ନିଘା କରି ବାଟ ଚାଲୁଥିବା ସତିଆନା ଝୁଅ ଅପବାଦ ନେଲା , କଥାର ଫେର କାଢ଼ିବାରୁ ଜଣାଗଲା ଦବା , ନବାରେ ସାମାନ୍ୟ ଉଣାଥିଲା । ସବୁ ଦେଇ ନେଇ ଝୁଅକୁ ଘର ଦେଲେ ବି କିଏ ତୁଠ ପଥର ସାଜି ସଂସାର ବାନ୍ଧେ ତ କିଏ ପଥରତଳିଆ ଘାସ ପରି ଜୀବନକୁ ପାଳେ କେହି କେହି ନହୁଲୀ ବୟସରେ ଜୀବନଟା ହାରେ - କିଏ କେମିତି ମରଣ ଯନ୍ତାରେ ହିଁ ମରେ ! ଦେଖାଯାଉ , ଉଦ୍ଦଣ୍ଡୀ ଝୁଅର କପାଳରେ କ ’ ଣ ଅଛି ସିଏ ତ ନିଜ ଇଚ୍ଛାର ଈଶ୍ୱରୀ ।	0
